side,entry_time,exit_time,entry_price,exit_price,holding_bars,net_return_pct,equity_after,mfe_pct,mae_pct
short,2021-02-08 16:00:00,2021-02-08 17:00:00,1832.625,1831.155,2,0.12467018905586436,0.9346215229277212,0.0802128094945842,0.0
long,2021-02-08 17:00:00,2021-02-09 01:00:00,1831.155,1841.249,8,-0.08365867009398897,0.9348697522447035,0.5512367877104962,-0.07754668501575024
short,2021-02-09 01:00:00,2021-02-09 18:00:00,1841.249,1837.405,18,0.18418343116073377,0.939188548452262,0.3521522618613715,-0.29941632011747377
long,2021-02-09 18:00:00,2021-02-09 21:00:00,1837.405,1836.035,4,0.210725873675921,0.9400974128042354,0.026123799597810304,-0.0859908403427645
short,2021-02-09 21:00:00,2021-02-09 23:00:00,1836.035,1836.445,2,0.06294759217007062,0.9400252512067019,0.0,-0.022330728989361504
long,2021-02-09 23:00:00,2021-02-10 02:00:00,1836.445,1843.145,4,0.13977634268680372,0.9414114465855464,0.3648353204152688,0.0
short,2021-02-10 02:00:00,2021-02-11 16:00:00,1843.145,1826.415,38,0.3650801201834808,0.9460155267192325,0.9076876751422214,-0.4300801076420946
long,2021-02-11 16:00:00,2021-02-23 02:00:00,1826.415,1812.928,165,-0.7412058960770906,0.9410750775546306,0.09214773203243265,-3.2478927297465265
short,2021-02-23 02:00:00,2021-02-23 06:00:00,1812.928,1808.255,5,-0.08369117409293692,0.9394067626933122,0.2577598227839206,0.0
long,2021-02-23 06:00:00,2021-03-17 22:00:00,1808.255,1748.384,381,-3.6852828699963536,0.9068953732402091,0.19648777412477614,-7.102980497772715
short,2021-03-17 22:00:00,2021-03-18 08:00:00,1748.384,1736.578,11,0.5842781644180839,0.9130390474821453,0.6920104507934122,-0.34380319197613307
long,2021-03-18 08:00:00,2021-03-19 18:00:00,1736.578,1742.518,34,0.3034079517570287,0.9159295416708417,0.404070534119394,-0.7851072626740674
short,2021-03-19 19:00:00,2021-03-22 00:00:00,1744.858,1735.338,3,-0.10528445725969116,0.9149652102240124,0.5456031379057813,0.0
long,2021-03-22 00:00:00,2021-03-26 20:00:00,1735.338,1731.118,113,-0.45878831480603566,0.9131937663807554,0.41087096577152593,-0.6661526457669931
